iter	Logloss
0	0.6520257808
1	0.6208446368
2	0.5943604355
3	0.5668372533
4	0.5461006265
5	0.5231536174
6	0.5058352777
7	0.4862144935
8	0.4677869551
9	0.4501936768
10	0.4351031279
11	0.4209366343
12	0.4102566056
13	0.3986163317
14	0.3890525985
15	0.3788230648
16	0.3698349168
17	0.3596845145
18	0.3516099113
19	0.3452680796
20	0.3367771828
21	0.329674117
22	0.3235918656
23	0.3153373468
24	0.3088790421
25	0.3010065196
26	0.2945716997
27	0.2883064176
28	0.2822596528
29	0.2770558721
30	0.2711628831
31	0.2674615838
32	0.2631629122
33	0.2588518068
34	0.2529273927
35	0.2494180853
36	0.2452076011
37	0.2417867867
38	0.2380647328
39	0.2340245747
40	0.229723641
41	0.2271356846
42	0.2241935341
43	0.2205951771
44	0.2176780055
45	0.2149014626
46	0.2110722482
47	0.2090202007
48	0.2079662011
49	0.2051824988
50	0.2027067971
51	0.2009804628
52	0.1991351483
53	0.1967062958
54	0.1938278995
55	0.1914572571
56	0.1898771997
57	0.1877831301
58	0.185563452
59	0.1828773084
60	0.1803699004
61	0.1794091473
62	0.1779458986
63	0.175436106
64	0.173481928
65	0.1713730582
66	0.1693329478
67	0.168008971
68	0.1665401104
69	0.1645510066
70	0.1634118572
71	0.1612704152
72	0.1584819416
73	0.1565295857
74	0.1549450294
75	0.1535926132
76	0.1521847604
77	0.1506185259
78	0.1492802879
79	0.1480306423
80	0.1463236376
81	0.144763727
82	0.1440304221
83	0.1433545265
84	0.1421427882
85	0.1407408022
86	0.1395151443
87	0.1385324125
88	0.1378092416
89	0.136640433
90	0.1352241827
91	0.1337685285
92	0.1325448289
93	0.1316535281
94	0.1306680815
95	0.1299047892
96	0.1291332374
97	0.1276519562
98	0.1261648294
99	0.1250629782
