iter	Passed	Remaining
0	14	1428
1	16	789
2	17	567
3	18	454
4	20	385
5	21	339
6	23	306
7	24	282
8	26	266
9	27	248
10	28	234
11	30	223
12	31	212
13	33	203
14	34	195
15	35	187
16	37	180
17	38	174
18	39	169
19	41	164
20	42	160
21	44	156
22	45	152
23	46	148
24	48	144
25	49	141
26	50	137
27	52	134
28	53	131
29	55	128
30	56	125
31	57	122
32	59	120
33	60	117
34	61	115
35	63	112
36	64	110
37	65	107
38	67	105
39	68	103
40	70	101
41	71	98
42	73	96
43	74	94
44	75	92
45	77	90
46	78	88
47	79	86
48	81	84
49	82	82
50	83	80
51	85	78
52	86	76
53	88	75
54	89	73
55	90	71
56	92	69
57	93	67
58	95	66
59	96	64
60	97	62
61	99	60
62	100	59
63	101	57
64	103	55
65	105	54
66	106	52
67	107	50
68	109	49
69	110	47
70	111	45
71	113	44
72	114	42
73	115	40
74	117	39
75	118	37
76	120	35
77	121	34
78	122	32
79	124	31
80	125	29
81	127	27
82	128	26
83	129	24
84	131	23
85	132	21
86	133	20
87	135	18
88	136	16
89	138	15
90	139	13
91	140	12
92	142	10
93	143	9
94	144	7
95	146	6
96	147	4
97	149	3
98	150	1
99	151	0
